EBKL,EquityBCDC,EBTL,EBUL,EBRPLC,EBSSL
Shs ‘millions,Shs ‘millions,Shs ‘millions,Shs ‘millions,Shs ‘millions,Shs ‘millions
"566,959","150,533","24,449","50,762","23,939",730
"70,268","24,826","2,994","8,859","5,340","3,430"
"92,118","24,826","3,239","8,859","5,340","3,430"
"496,748","233,985","17,839","48,447","26,966","5,683"
12.4%,16.5%,12.6%,17.5%,22.3%,469.9%
10.5%,7.5%,12.5%,10.0%,10.0%,8.0%
1.9%,8.0%,0.1%,7.5%,12.3%,461.9%
16.2%,16.5%,13.2%,17.5%,22.3%,469.9%
14.5%,10.0%,14.5%,12.0%,15.0%,12.0%
1.7%,6.5%,(1.3%),5.5%,7.3%,457.6%
14.1%,10.6%,16.8%,18.6%,19.8%,60.4%
8.0%,8.0%,8.0%,10.0%,10.0%,8.0%
6.1%,2.6%,8.8%,8.6%,9.8%,52.4%
