Group,Column,Bank
2012,2011,2012
689,"1,108
852
426
605
2,914
-
3,221
-
75
344
1,278
1,278
1,668
-
-
86
172
65
60
86
252
34
43
138
87
-
-
-",689
-,,-
-,,-
612,,612
"4,308",,"4,308"
"3,261",,"3,261"
"3,221",,"3,221"
"8,615",,"8,615"
85,,85
315,,315
"1,292",,"1,292"
"1,292",,"1,292"
"1,756",,"1,756"
232,,232
-,,77
-,,-
27,,
1,,-
86,,-
-,,-
-,,-
161,,-
193,,-
-,,-
160,,-
96,,-
48,,-
32,,-
86,,-
"26,569","13,063","23,326"
,"1,729
13,063",
"2,506",,"2,429"
"24,063",,"23,326"
"26,569","14,792","25,755"
