Shareholding,Column,2024
2024,2023,Shs’ millions
100%,100%,"40,733"
85.4%,85.4%,"27,360"
100%,100%,"5,712"
100%,100%,"7,954"
100%,100%,"7,377"
99.1%,99.1%,"10,054"
100%,100%,"1,001"
100%,100%,420
100%,100%,600
100%,100%,-
100%,100%,0.5
100%,100%,420
100%,100%,0.1
,,"101,632"
