Trend in Quality of Loan Book,Column,Column,Column,Column,Column,Column
,2006,2007,2008,2009,"March
2010","June
2010"
Gross NPL,795,"1,198","2,647","5,083","4,790","4,337"
Gross NPL/ GL,7.0%,5.4%,5.9%,7.7%,6.3%,6.2%
"Coverageof
NPL",48%,35%,34%,41%,46%,41%
AssetQuality,3.6%,3.5%,3.8%,4.6%,3.8%,3.7%
