"At
start of
year","Recognised
in profit or
loss","Translation
differences","Recognised
in OCI","en
Y"
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ milli
(457),313,(261),-,(4
"14,305",(57),163,-,"14,"
111,23,128,-,
840,"(1,845)",365,-,(6
"(1,207)",2,(2),,"(1,2"
488,-,107,"12,526","13,"
(111),(90),37,224,
"13,969","(1,654)",537,"12,750","25,"
113,206,-,-,
