Group,Column,Bank
2011,2010,2011
,"1,851
12,161
11,204
(1,260)",
"1,851",,"1,851"
"12,161",,"12,161"
"17,715",,"17,975"
"(1,366)",,"(7,511)"
"30,361","23,956","24,476"
,"414
5,008",
521,,420
"7,624",,"7,624"
"8,145","5,422","8,044"
"38,506","29,378","32,520"
,"90,594
32%
26%",
"127,880",,"127,725"
30%,,22%
24%,,15%
