Column,Changes in EUR,Effect on profit before tax,Effect on equity
,,Shs’ millions,Shs’ millions
2018,+/-7%,+/-43,+/-30
2017,+-/11%,+/-81,+/-59
,Changes in US$,,
2018,+/-2%,+/-147,+/-103
2017,+/-3%,+/-185,+/-135
,Changes in GBP,,
2018,+/-8%,+/-1,+/-1
2017,+/-15%,+/-118,+/-86
