Name,Expertise,"Executive/Non-
Executive","Independent/Non-
Independent",Gender,Age,"Year of
Appointment","Meeting
Attendance",Nationality
"Mr. David
Ansell*","Management of
financial
institutions,
strategic planning
and business
development","Non-Executive
Chairman (Retired)",Independent,Male,75,2015,1/7,Kenyan
"Prof. Isaac
Macharia","Medical, strategic
planning,
leadership and
business
development","Non-Executive
Chairman",Independent,Male,62,2017,7/7,Kenyan
"Mrs. Evelyn
Rutagwenda","Accounting,
auditing, leadership
and management","Non-Executive
Vice Chairperson",Independent,Female,62,2015,7/7,Rwandese
"Dr. James
Mwangi","Banking and
financial experience,
leadership and
management of
financial institutions","Group Managing
Director &
Chief Executive
Officer",Non-independent,Male,58,"Non-
independent",7/7,Kenyan
"Mr. Deepak
Malik*","Accounting, banking,
financial
investment
experience,
leadership and
management of
financial institutions","Non-Executive
Director",Independent,Male,63,2015,2/7,Indian
"Dr. Edward
Odundo","Strategic
Management &
Marketing, Finance
& Accounting,
pension and tax","Non-Executive
Director",Independent,Male,62,2018,7/7,Kenyan
"Dr. Helen
Gichohi","Leadership and
international
management of
social impact and
transformational
programs","Non-Executive
Director",Independent,Female,60,2015,7/7,Kenyan
"Mr. Vijay
Gidoomal","Finance, operations,
strategic planning
and business
development","Non-Executive
Director",Independent,Male,53,2017,7/7,Kenyan
"Mrs. Mary
Wamae","Legal, company
secretarial,
strategic planning,
leadership
and business
development",Executive,"Non-
Independent",Female,52,"Non-
Independent",6/7,Kenyan
"Mr.
Christopher
Newson**","Investment and
Commercial
Banking and
Alternative Asset
Management expert","Non-Executive
Director",Independent,Male,56,2020,2/7,"British/
South
African"
