"2008
7,979
(1,362 )",Column,"2008
7,169
(1,217 )"
"6,617
1,624","2,660
562","5,952
1,308"
"1,624
780
3,584","562
246
2,353","1,308
734
3,562"
"12,605","5,821","11,556"
"1,020
2,954
375
749
2,519","(25 )
1,469
182
423
1,409","875
2,584
357
712
2,271"
"7,617
4,988
34","3,458
2,363
15","6,799
4,757
34"
"5,022
(1,112 )","2,378
(488 )","4,791
(1,038 )"
"3,910","1,890","3,753"
"10.68
3.00",,"10.25
3.00"
