Equity Bank (Kenya) Limited,Column,Equity Group Holdings Plc,Column,Column,Column
BANK,,COMPANY,,GROUP,
"30th June 31st Dec 31st Mar
2016 2016 2017
Shs. '000' Shs. '000' Shs. '000'
(Un-Audited) (Audited) (Un-Audited)
7,330,130 4,840,798 7,478,172
15,559,535 11,537,111 14,744,284
- - -
- - -
63,761,211 93,097,439 105,406,210
24,158,898 21,655,268 19,747,214
21,955,907 19,452,277 17,544,224
2,202,991 2,202,991 2,202,991
39,602,313 71,442,171 85,658,995
39,602,313 71,442,171 85,658,995
- - -
7,251,483 5,000,000 2,800,000
14,394,074 20,767,981 23,499,047
- - -
222,350,434 213,805,548 208,356,659
3,776,223 3,369,966 3,335,342
- - -
- - -
- - -
8,494 8,494 8,494
8,126,640 7,334,622 7,044,139
3,976 3,953 3,941
3,974,271 5,606,711 5,547,427
2,783,284 2,938,970 2,938,970
- - -
11,149,134 11,437,403 12,700,961",30th June,"30th June 31st Dec 31st Mar
2016 2016 2017
Shs. '000' Shs. '000' Shs. '000'
(Un-Audited) (Audited) (Un-Audited)
2,295,723 8,012,137 8,090,385
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
10,647 7,807 7,807
- - -
3,342,554 704,110 613,125
- - -
59,345,161 64,721,117 64,721,117
- - -
- - -
- - -
- - -
- - -
- - -
- - -
74,207 1,074 153,622",30th June,"30th June 31st Dec 31st Mar
2016 2016 2017
Shs. '000' Shs. '000' Shs. '000'
(Un-Audited) (Audited) (Un-Audited)
14,322,754 11,854,456 15,926,537
15,559,535 11,537,111 14,744,284
- - -
- - -
73,032,331 100,588,954 112,988,818
33,032,067 26,291,502 22,142,487
21,955,907 19,452,277 17,544,224
11,076,160 6,839,225 4,598,264
40,000,264 74,297,451 90,846,331
39,602,313 71,442,171 85,658,995
397,951 2,855,280 5,187,336
9,638,983 5,316,369 3,231,033
20,239,324 35,738,191 38,791,085
143,760 150,494 119,698
269,032,284 266,068,089 261,899,197
322,578 382,615 480,428
- - -
- - -
- - -
8,494 8,494 8,494
14,286,778 13,754,329 13,345,923
107,936 114,898 87,219
4,942,366 6,406,911 6,316,484
3,049,941 3,260,243 3,241,681
- - -
19,749,786 18,531,981 20,972,586",30th June
,2017,,2017,,2017
,Shs. '000',,Shs. '000',,Shs. '000'
,(Un-Audited),,(Un-Audited),,(Un-Audited)
,"7,316,252",,"2,561",,"17,644,409"
,"15,401,190",,-,,"15,401,190"
,-,,-,,-
,-,,-,,-
,"107,305,707",,-,,"115,595,812"
,"19,191,428",,-,,"21,704,050"
,"16,988,437",,-,,"16,988,437"
,"2,202,991",,-,,"4,715,613"
,"88,114,279",,-,,"93,891,762"
,"88,114,279",,-,,"88,114,279"
,-,,-,,"5,777,483"
,"4,990,000",,-,,"5,910,383"
,"23,126,023",,-,,"38,831,255"
,"813,233",,"7,203",,"927,115"
,"207,490,076",,-,,"265,086,161"
,"3,533,130",,"282,544",,"533,227"
,-,,-,,-
,-,,"65,760,617",,-
,-,,-,,-
,"8,494",,-,,"8,494"
,"6,564,939",,-,,"13,004,808"
,"3,721",,-,,"448,779"
,"5,862,813",,-,,"6,628,163"
,"2,938,970",,-,,"3,278,363"
,-,,-,,-
,"14,175,320",,"1,074",,"21,646,133"
"360,468,890 379,748,996 393,863,646","399,529,870","65,068,292 73,446,245 73,586,056","66,053,998","444,436,850 473,713,133 492,153,465","504,944,293"
"- - -
259,051,323 277,274,668 288,006,775
1,450,994 5,193 -
- - -
- - -
37,606,506 43,726,761 42,679,794
- - -
209,102 313,642 2,073,020
3,000,000 - -
- - -
- - -
5,091,536 6,087,692 4,837,009",,"- - -
- - -
- - -
- - -
- - -
- - -
2,523,841 2,558,355 2,584,265
108,498 - -
- - 7,547,350
- - -
- - -
9,398 748 748",,"- - -
319,230,725 337,198,618 347,514,400
1,532,718 5,193 1,765,208
- - 2,414
1,704,888 198,920 1,313,655
38,519,736 45,770,072 44,480,018
- - -
510,355 506,774 2,397,632
- - 7,547,350
56,127 177,522 155,838
- - -
7,478,297 7,878,937 7,537,612",
,-,,-,,-
,"288,488,484",,-,,"362,788,342"
,-,,-,,"608,740"
,-,,-,,"237,423"
,-,,-,,"2,015,564"
,"42,364,070",,-,,"43,532,545"
,-,,"2,604,164",,-
,-,,-,,"293,602"
,-,,-,,-
,-,,-,,"150,488"
,-,,-,,-
,"7,017,835",,748,,"9,423,926"
"306,409,462 327,407,956 337,596,599","337,870,389","2,641,737 2,559,103 10,132,363","2,604,912","369,032,846 391,736,037 412,714,127","419,050,629"
"30,000,000 30,000,000 30,000,000
9,964,132 9,964,132 9,964,132
(970,010) (785,889) (965,096)
13,815,944 11,284,120 15,389,335
1,249,363 1,878,677 1,878,677
- - -
- - -
- - -",,"1,886,837 1,886,837 1,886,837
16,062,607 16,062,607 16,062,607
- - -
44,477,110 45,390,349 45,504,249
- - -
- - -
- 7,547,350 -
- - -",,"1,886,837 1,886,837 1,886,837
16,062,607 16,062,607 16,062,607
(7,132,875) (7,051,002) (6,891,531)
62,296,959 60,550,117 65,382,778
1,615,305 2,280,654 2,280,654
- - -
- 7,547,350 -
675,172 700,533 717,994",
,"30,000,000",,"1,886,837",,"1,886,837"
,"9,964,132",,"16,062,607",,"16,062,607"
,"551,817",,-,,"(4,920,682)"
,"19,264,855",,"45,499,641",,"69,860,922"
,"1,878,677",,-,,"2,280,654"
,-,,-,,-
,-,,-,,-
,-,,-,,"723,327"
"54,059,428 52,341,039 56,267,047","61,659,481","62,426,554 70,887,143 63,453,693","63,449,086","75,404,004 81,977,096 79,439,339","85,893,664"
"360,468,890 379,748,996 393,863,646","399,529,870","65,068,292 73,446,245 73,586,056","66,053,998","444,436,850 473,713,133 492,153,466","504,944,293"
"19,153,135 35,175,592 6,072,495
2,307,063 6,699,995 2,724,759
508,513 1,002,446 151,077
104,022 194,517 25,243",,"- - -
- - -
45,679 68,754 152,548
- - 307",,"22,744,688 43,065,889 8,191,847
2,881,557 7,882,239 2,964,984
299,247 538,904 258,056
170,252 353,572 50,160",
,"11,995,774",,-,,"16,380,515"
,"5,709,179",,-,,"6,218,217"
,"298,670",,"229,458",,"306,548"
,"49,655",,-,,"99,911"
"22,072,733 43,072,550 8,973,574","18,053,278","45,679 68,754 152,855","229,458","26,095,743 51,840,604 11,465,047","23,005,192"
"2,983,275 6,115,253 1,520,483
12,245 60,970 10,490
849,725 1,836,594 485,345",,"- - -
- - -
- - -",,"3,873,219 7,883,466 2,021,029
97,436 220,719 48,646
892,330 1,922,526 509,416",
,"3,156,726",,-,,"4,198,946"
,"19,030",,-,,"105,128"
,"984,800",,-,,"758,465"
"3,845,245 8,012,818 2,016,318","4,160,556",- - -,-,"4,862,984 10,026,712 2,579,091","5,062,540"
"18,227,488 35,059,732 6,957,257","13,892,722","45,679 68,754 152,855","229,458","21,232,759 41,813,893 8,885,956","17,942,652"
"1,757,284 3,831,268 1,240,213
3,750,588 8,418,842 2,378,571
1,111,859 1,910,435 587,125
- - -
485,988 1,103,549 172,517",,"- - -
- - -
- - -
3,000,000 11,300,000 -
24,476 97,214 -",,"2,011,634 4,416,234 1,377,130
5,244,938 11,364,858 3,107,974
1,655,027 3,307,113 916,587
- - -
1,936,325 3,130,579 931,604",
,"2,569,626",,-,,"2,854,578"
,"4,739,496",,-,,"6,286,849"
,"1,179,260",,-,,"1,721,426"
,-,,-,,-
,"710,185",,-,,"2,113,771"
"7,105,719 15,264,095 4,378,426","9,198,567","3,024,476 11,397,214 -",-,"10,847,924 22,218,783 6,333,295","12,976,624"
"25,333,207 50,323,827 11,335,682","23,091,289","3,070,155 11,465,968 152,855","229,458","32,080,683 64,032,676 15,219,252","30,919,276"
"1,262,268 5,010,763 630,652
4,501,698 8,096,990 1,636,535
8,375 17,276 2,777
617,697 1,262,656 326,950
1,456,400 2,816,348 678,137
327,547 705,012 185,677
4,129,592 9,637,211 2,010,361",,"- - -
- - -
9,817 13,372 2,033
- - -
- - -
- - -
42,510 75,494 36,922",,"1,928,055 6,645,641 796,900
6,117,742 11,628,908 2,472,447
38,287 65,117 12,660
1,150,961 2,039,919 593,290
1,822,521 3,764,250 931,828
378,429 974,707 218,420
6,414,613 13,987,251 3,292,925",
,"1,425,412",,-,,"1,860,344"
,"3,470,215",,-,,"5,158,500"
,"7,011",,"14,967",,"41,210"
,"659,058",,-,,"1,213,480"
,"1,361,669",,-,,"1,876,071"
,"375,642",,-,,"443,045"
,"4,391,231",,"58,359",,"7,034,410"
"12,303,577 27,546,255 5,471,089","11,690,238","52,327 88,866 38,955","73,326","17,850,607 39,105,794 8,318,470","17,627,060"
"13,029,630 22,777,572 5,864,593
- - -","11,401,051","3,017,828 11,377,102 113,900
- - -","156,132","14,230,076 24,926,883 6,900,782
- - -","13,292,216"
,-,,-,,-
"13,029,630 22,777,572 5,864,593
(3,908,889) (7,715,023) (1,759,378)
- 155,686 -","11,401,051","3,017,828 11,377,102 113,900
(5,348) 94,197 (34,170)
- - -","156,132","14,230,076 24,926,883 6,900,782
(4,290,826) (8,582,349) (2,050,660)
172,059 257,995 -","13,292,216"
,"(3,420,315)",,"(46,840)",,"(3,930,738)"
,-,,-,,-
"9,120,741 15,218,234 4,105,215
- - -","7,980,736","3,012,480 11,471,299 79,730
- - -","109,292","10,111,308 16,602,529 4,850,122
31,374 56,735 17,461","9,361,478"
,-,,-,,"22,794"
"9,120,741 15,218,234 4,105,215","7,980,736","3,012,480 11,471,299 79,730","109,292","10,079,935 16,545,794 4,832,661","9,338,685"
"- - -
499,074 683,195 (179,207)
- - -
- - -
- - -",,"- - -
- - -
- - -
- - -
- - -",,"249,149 99,102 340,443
499,074 686,403 (180,972)
- - -
- - -
- - -",
