Board Committee,Members
"i. Governance, Board Nomination and
Staff Remuneration Committee","Mr. Dennis Aluanga - Chair
Mr. Peter Munga
Mr. Ernest Nzovu
Dr. Helen Gichohi
Dr. James Mwangi"
ii. Audit Committee,"Mr. Benson Wairegi – Chair
Mr. Ernest Nzovu
Mr.Dennis Aluanga"
"iii. Risk Management and ALCO
Committee","Prof. Shem Migot-Adholla - Chair
Mr. Benson Wairegi
Mr. David Ansell
Mr.Dennis Aluanga"
iv. Credit Committee,"Mr David Ansell- Chair
Mr. Fredrick Muchoki – Vice Chair
Mr. Ernst Nzovu
Prof. Shem Migot-Adholla"
"v. Tendering and Procurement
Committee","Mr Fredrick Muchoki – Chair
Mr Ernest Nzovu
Dr Helen Gichohi"
"vi. Strategy and Investment Committee
(incorporating Systems &
Processes)","Mr. Dennis Aluanga - Chair
Dr. Julius Kipng’etich
Mr. Benson Wairegi
Mr. Peter Munga
Prof. Shem Migot- Adholla
Dr. James Mwangi
Mr. Temitope Lawani"
vii. Board Executive Committee,"Mr. Peter Munga- Chair
Dr. James Mwangi
Mr. Benson Wairegi"
