DIRECTOR,NO. OF SHARES,% SHARES HELD
Prof. Isaac Macharia,"346,950",0.0092
Dr. James Mwangi¹,"127,809,180",3.39
Dr. Helen Gichohi,"131,400",0.0035
Mrs. Mary Wamae *,Nil,Nil
Mr. Vijay Gidoomal,Nil,Nil
Dr. Edward Odundo,Nil,Nil
Dr. Evans Baiya,Nil,Nil
Mr Jonas Mushosho,Nil,Nil
Mr. Samwel Kirubi,Nil,Nil
Mr. Clifford Sacks,Nil,Nil
Mr. Samuel Mwale,Nil,Nil
