Kenya,Uganda,"South
Sudan",Rwanda,Tanzania,DRC,Total
"Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions","Shs’
millions"
"777,902","112,151","1,685","66,252","45,595","443,425","1,447,010"
"599,099","97,729","71,174","58,616","39,318","398,863","1,264,799"
"66,162","7,837",100,"4,909","2,137","13,748","94,893"
"73,858","8,997","3,010","6,217","2,731","26,483","121,296"
"3,503",823,782,228,350,"1,685","7,371"
"32,022","6,601",15,"2,189","2,261","18,365","61,453"
"41,837","2,396","2,995","4,027",470,"8,118","59,843"
776,428,34,154,124,254,"1,770"
"3,014",28,-,8,99,44,"3,193"
