Performance,KShs million
Total revenue,"2,085"
Customer deposits,"15,057"
Total assets,"21,397"
PBT,697
Statistics,In absolute
Customer numbers,"457,903"
Employee numbers,333
ATM’s,18
Branches,13
Agents,839
