"2008
435",Column,"2008
392"
"421
654
(55 )","113
115
(253 )","421
509
(55 )"
"1,020
227
(557 )","(25 )
202
(284 )","875
227
(504 )"
690,(107 ),598
"1,125",392,990
"44,070","21,836","40,857"
"105
69","-
-","-
-"
"174
(49 )","-
-","-
-"
"125
(3 )","-
-","-
-"
122,-,-
"4,067
8,127
46","5,553
7,990
-","4,034
8,117
-"
"12,240","13,543","12,151"
"11
575
-
623
781
134","11
292
-
861
1,208
56","11
1,505
179
624
779
86"
"2,124","2,428","3,184"
