Performance,"2023
(Shs Millions)","2024
(Shs Millions)"
Total revenue,"15,766","15,312"
Customer deposits,"123,510","98,270"
Total assets,"156,584","119,261"
PBT,"1,295",468
Other metrics,,
Customer numbers,"2,105,855","2,221,748"
Employee numbers,"1,501","1,424"
ATM’s,59,58
Branches,50,50
Agents,"9,089","9,193"
