Pillar,Program,2024,Cumulative
"Education and
Leadership
Development",Secondary School Scholarships – Wings to Fly and Elimu,"4,426","60,009"
,(cid:58)ings to (cid:41)l(cid:92) and Elimu scholars qualified to (cid:77)oin universit(cid:92),"5,090","23,825"
,Equity Leaders Program Global Scholars,113,970
,Equity Leaders Program Interns,773,"8,878"
,Technical and Vocational Education Training (TVET) Scholars,525,"3,979"
"Food and
Agriculture",Medium Sized farmers,"91,540","383,902"
Health,Equit(cid:92) (cid:36)fia out-(cid:83)atient clinics,34,132
,Clients reached through Equit(cid:92) (cid:36)fia,"1,200,544","3,343,889"
,Number of Hospitals supported with PPE,84,121
"Enterprise
Development and
Financial Inclusion","Micro, small and Medium Enterprises trained","116,812","634,059"
,"Micro, small and Medium Enterprises mentored","95,700","289,311"
,Financial Inclusion,"26,903","2,477,358"
"Energy,
Environment and
Climate Change",Clean energy products distributed,"44,732","466,975"
,Trees planted,"5,000,000","35,000,000"
,Carbon credits,"Reduced carbon emission by 549,000
metric tonnes",
"Innovation and
Technology",Number of alumni undertaking Tech courses,451,451
,Number of Job Placements,265,265
Social Protection,Number of individuals reached,"390,000",5.8m
,Value of Disbursements via Cash Transfers (Shs),25.8bn,164.2bn
