Title,Key requirements,Effective dat
"IFRS 17
Insurance
Contracts","IFRS 17 was issued in May 2017 as replacement for IFRS 4 Insurance
Contracts. It requires a current measurement model where
estimates are re-measured in each reporting period. The new rules
will affect the financial statements and key performance indicators
of all entities that issue insurance contracts or investment contracts
with discretionary participation features.
The Group is in the process of assessing its impact in the financial
statements.",1 January 20
"Classification
of Liabilities
as Current or
Non-current –
Amendments to
IAS 1","The narrow-scope amendments to IAS 1 Presentation of Financial
Statements clarify that liabilities are classified as either current or
non- current, depending on the rights that exist at the end of the
reporting period. Classification is unaffected by the expectations
of the entity or events after the reporting date (e.g. the receipt of a
waver or a breach of covenant). The amendments also clarify what
IAS 1 means when it refers to the ‘settlement’ of a liability.
The amendments could affect the classification of liabilities,
particularly for entities that previously considered management’s
intentions to determine classification and for some liabilities that
can be converted into equity.
They must be applied retrospectively in accordance with the normal
requirements in IAS 8 Accounting Policies, Changes in Accounting
Estimates and Errors.",1 January 20
"Definition of
Accounting
Estimates –
Amendments to
IAS 8","The amendment to IAS 8 Accounting Policies, Changes in Accounting
Estimates and Errors clarifies how companies should distinguish
changes in accounting policies from changes in accounting estimates.
The distinction is important, because changes in accounting estimates
are applied prospectively to future transactions and other future
events, but changes in accounting policies are generally applied
retrospectively to past transactions and other past events as well as
the current period.",1 January 20
"Disclosure of
Accounting
Policies –
Amendments
to IAS 1 and
IFRS Practice
Statement 2","The IASB amended IAS 1 to require entities to disclose their material
rather than their significant accounting policies. The amendments
define what is ‘material accounting policy information’ and explain how
to identify when accounting policy information is material.
They further clarify that immaterial accounting policy information does
not need to be disclosed. If it is disclosed, it should not obscure material
accounting information. To support this amendment, the IASB also
amended IFRS Practice Statement 2 Making Materiality Judgements
to provide guidance on how to apply the concept of materiality to
accounting policy disclosures.",1 January 20
