"2024
Shs’ millions",Column,"2024
Shs’ millions"
"11,089","9,513
3,734
2,388
3,440
2,394
2,225
332
2,912
83
16,225",11
"3,966",,587
"2,631",,2
"4,820",,99
"3,228",,-
"1,919",,1
756,,-
"2,778",,-
103,,12
"21,640",,355
"52,930","43,246","1,067"
