Column,Dec 2011,Dec 2016
Number of ag,"ents 3,234","27,016"
Monthly trans,actions 1 million,5.4 million
"Monthly value
transactions","of 7.1 billion
(KShs.)",44.4 billion
"Agent commis
(KShs.)",sions 41.9 million,1.17 billion
