Central Banks Guidelines,Days past due,Internal grading,Stage allocation
Normal,0-30,1,1
Watch,31-90,2,2
Substandard,91-180,3,3
Doubtful,181 - 365,4,3
Loss,"Over 365 or considered
uncollectible",5,3
