Name,Expertise,"Executive/
Independent","Non-Executive
Independent",Gender,"Meeting
Attendance",Nationality
"Mr. David
Ansell","Management of financial
institutions, strategic planning and
business development","Non-Executive
Chairman",Independent,Male,3/5,Kenyan
"Prof. Isaac
Macharia","Medical, strategic planning,
leadership and business
development","Non-Executive
Vice Chairman",Independent,Male,5/5,Kenyan
"Dr. James
Mwangi","Banking and financial experience,
leadership and management of
financial institutions","Group Managing
Director &
Chief Executive
Officer","Non-
independent",Male,5/5,Kenyan
"Mr. Deepak
Malik","Accounting, banking, financial
investment experience, leadership
and management of financial
institutions","Non-Executive
Director","Non-
Independent",Male,4/5,Indian
"Mrs. Evelyn
Rutagwenda","Accounting, auditing, leadership
and management","Non-Executive
Director",Independent,Female,5/5,Rwandese
"Dr. Edward
Odundo","Strategic Management &
Marketing. Finance &
Accounting, pension and tax","Non-Executive
Director",Independent,Male,5/5,Kenyan
"Dr. Helen
Gichohi","Leadership and international
management of social impact and
transformational programs","Non-Executive
Director",Independent,Female,5/5,Kenyan
"Mr. Vijay
Gidoomal","Finance, operations, strategic
planning and business development","Non-Executive
Director",Independent,Male,5/5,Kenyan
"Mrs. Mary
Wamae","Legal, company secretarial,
strategic planning, leadership and
business development",Executive,"Non-
Independent",Female,5/5,Kenyan
