Country,Amount Approved,Date of Approval
DRC,US$ 363 million,"April 22, 2020"
Kenya,US$ 739 million,"May 6, 2020"
Rwanda,US$ 220 million,"April 2 & June 11, 2020"
South Sudan,US$ 52 million,"Nov 11, 2020"
Uganda,US$ 492 million,"May 6, 2020"
