Column,EQUITY BANK (KENYA) LIMITED,Column,Column,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column,Column,Column,Column,Column,Column,Column
,BANK,,,,COMPANY,,,,,GROUP,,,,
"STATEMENT OF COMPREHENSIVE INCOME
(continued)
8.0 Exceptional items
9.0 Profit/(loss) after exceptional items
10. Current tax
11. Deferred tax
12. Profit/(loss) after tax and exceptional items
12.1 Minority Interest
13. Profit/(loss) after tax and exceptional items and
minority interest
14. Other comprehensive income
14.1 Gains/(losses) from translating the financial
statements of foreign operations
14.2 Fair value changes in FVOCI
14.3 Remeasurement of defined benefit obligation
14.4 Share of other comprehensive income of
associates
14.5 Income tax relating to components of other
comprehensive income
15. Other comprehensive income for the year net
of tax
16. Total comprehensive income for the year
Earnings per share - basic & diluted
Dividend per share - declared
OTHER DISCLOSURES
1) NON-PERFORMING LOANS AND ADVANCES
a) Gross non-performing loans and advances
b) Less interest in suspense
c) Total non-performing loans and advances (a-b)
d) Less loan loss provision
e) Net non-performing loans (c-d)
f) Discounted value of securities
g) Net NPLs exposure (e-f)
2) INSIDER LOANS AND ADVANCES
a) Directors, shareholders and associates
b) Employees
c) Total insider loans and advances and other
facilities
3) OFF BALANCE SHEET ITEMS
a) Letter of credit, guarantees and acceptances
b) Forwards, swaps and options
c) Other contingent liabilities
d) Total contingent liabilities
4) CAPITAL STRENGTH
a) Core capital
b) Minimum statutory capital
c) Excess/(deficiency)
d) Supplementary capital
e) Total capital (a+d)
f) Total risk weighted assets
Ratios
g) Core capital/total deposit liabilities
h) Minimum statutory ratio
i) Excess/(deficiency) (g-h)
j) Core capital/total risk weighted assets
k) Minimum statutory ratio
l) Excess/(deficiency) (j-k)
m) Total capital/total risk weighted assets
n) Minimum statutory ratio
o) Excess/(deficiency) (m-n)
5) LIQUIDITY
a) Liquidity ratio
b) Minimum statutory ratio
c) Excess/(deficiency) (a-b)","30th Sep
2024
Shs. ‘000’
(Un-Audited)
-","31st Dec
2024
Shs. ‘000’
(Audited)","31st Mar 30th Jun
2025 2025
Shs. ‘000’ Shs. ‘000’
(Un-Audited) (Un-Audited)
- -","30th Sep
2025
Shs. ‘000’
(Un-Audited)","30th Sep
2024
Shs. ‘000’
(Un-Audited)
-","31st Dec
2024
Shs. ‘000’
(Audited)","31st Mar
2025
Shs. ‘000’
(Un-Audited)","30th Jun
2025
Shs. ‘000’
(Un-Audited)","30th Sep
2025
Shs. ‘000’
(Un-Audited)","30th Sep
2024
Shs. ‘000’
(Un-Audited)
-","31st Dec
2024
Shs. ‘000’
(Audited)","31st Mar
2025
Shs. ‘000’
(Un-Audited)","30th Jun
2025
Shs. ‘000’
(Un-Audited)","30th Sep
2025
Shs. ‘000’
(Un-Audited)"
,,-,,-,,-,-,-,-,,-,-,-,-
,"23,479,767","26,660,826","9,872,557 21,778,339","35,293,114","2,705,679","21,482,904","35,321","(172,246)","(585,075)","51,022,483","60,739,955","18,680,056","41,542,214","65,584,457"
,"(2,750,886)
(169,635)
20,559,246
-","(4,075,715)","(1,084,272) (2,620,765)
(256,529) 337,038
8,531,756 19,494,612
- -","(1,209,650)","-
(497,896)
2,207,783
-",-,-,-,"(491,824)","(8,647,244)
(1,433,682)
40,941,557
(1,654,423)","(12,139,693)","(2,965,912)","(6,636,289)","(8,219,882)"
,,"1,486,769",,"(2,990,700)",,"(1,170,536)","(10,597)","(297,192)","330,300",,"223,096","(366,233)","(279,551)","(3,240,962)"
,,"24,071,880",,"31,092,764",,"20,312,368","24,724","(469,438)","(746,599)",,"48,823,358","15,347,911","34,626,374","54,123,613"
,,-,,-,,-,-,-,-,,"(2,273,839)","(547,459)","(1,319,869)","(2,004,916)"
,"20,559,246","24,071,880","8,531,756 19,494,612","31,092,764","2,207,783","20,312,368","24,724","(469,438)","(746,599)","39,287,134","46,549,519","14,800,452","33,306,505","52,118,697"
,"-
4,744,608
-
-
-",,"- -
4,851,740 12,014,484
- -
- -
- -",,"-
-
-
-
-",,,,,"(17,286,869)
3,688,873
-
-
-",,,,
,,-,,-,,-,-,-,-,,"(22,821,026)","(4,098,919)","(1,555,102)","(951,586)"
,,"15,763,591",,"17,251,585",,-,-,-,-,,"23,193,730","9,376,056","17,386,961","27,430,755"
,,-,,-,,-,-,-,-,,"1,588,815",-,-,-
,,-,,-,,-,-,-,-,,-,-,-,-
,,-,,-,,-,-,-,-,,"(6,958,119)","(2,812,817)","(5,216,088)","(8,229,227)"
,"4,744,608","15,763,591","4,851,740 12,014,484","17,251,585",-,-,-,-,-,"(13,597,996)","(4,996,600)","2,464,320","10,615,771","18,249,942"
,"25,303,854","39,835,471","13,383,496 31,509,096","48,344,349","2,207,783","20,312,368","24,724","(469,438)","(746,599)","25,689,138","43,826,758","17,812,231","45,242,145","72,373,555"
,685.31,802.40,284.39 649.82,"1,036.43",0.59,5.38,0.01,(0.12),(0.20),10.41,12.34,3.92,8.83,13.81
,-,583.33,- -,-,-,4.25,-,-,-,-,4.25,-,-,-
,"91,845,241
19,641,468",,"99,269,841 109,445,991
23,911,991 27,158,700",,"-
-",,,,,"125,320,633
25,159,893",,,,
,,"92,985,027",,"98,271,851",,-,-,-,-,,"121,997,045","132,787,649","139,356,060","129,172,731"
,,"21,483,288",,"27,014,134",,-,-,-,-,,"26,039,630","29,081,207","29,400,080","28,559,215"
,"72,203,773","71,501,739","75,357,850 82,287,291","71,257,717",-,-,-,-,-,"100,160,740","95,957,415","103,706,442","109,955,980","100,613,516"
,"33,364,845","35,044,570","36,017,983 37,882,662","38,776,772",-,-,-,-,-,"45,999,866","51,661,585","51,287,667","57,511,806","63,340,717"
,"38,838,928","36,457,169","39,339,867 44,404,629","32,480,945",-,-,-,-,-,"54,160,874","44,295,830","52,418,775","52,444,174","37,272,799"
,"36,421,706","35,686,339","36,736,619 41,200,887","29,417,781",-,-,-,-,-,"51,688,276","43,525,000","49,182,496","48,477,525","34,141,776"
,"2,417,222","770,830","2,603,248 3,203,742","3,063,164",-,-,-,-,-,"2,472,598","770,830","3,236,279","3,966,649","3,131,023"
,"6,702,362
9,160,541",,"6,630,754 6,297,462
9,278,271 8,804,074",,"-
-",,,,,"8,452,031
18,155,661",,,,
,,"6,642,766",,"6,036,539",,-,-,-,-,,"8,317,725","8,316,190","7,932,404","9,181,179"
,,"9,158,521",,"8,712,669",,-,-,-,-,,"19,089,037","18,254,145","18,589,332","18,994,916"
