FY 2024,EBTL,EBRL,EBUL,EBSS,"Equity
BCDC","Regional
Subs Total (%
Contribution)","EBKL
(%
Contribution)","Banking
Group
Total* (%
growth)","Regional
Subs
Contribution
FY 2024","Regional
Subs
Contribution
FY 2023"
Deposit,44.4,92.7,98.3,12.0,542.2,789.6,841.5,"1,631.1",48%,50%
YoY Growth,-(cid:28)(cid:8),-(cid:23)(cid:8),-(cid:21)(cid:19)(cid:8),-(cid:21)(cid:19)(cid:8),7%,48%,52%,4%,,
Loan,26.0,52.0,46.2,0.8,271.9,396.9,422.3,819.2,48%,49%
YoY Growth,-(cid:20)(cid:23)(cid:8),-(cid:22)(cid:8),-(cid:22)(cid:20)(cid:8),11%,-(cid:24)(cid:8),48%,52%,-(cid:27)(cid:8),,
Assets,56.2,124.3,119.3,20.7,656.5,976.9,"1,027.7","2,004.6",49%,50%
YoY Growth,-(cid:26)(cid:8),-(cid:22)(cid:8),-(cid:21)(cid:22)(cid:8),-(cid:27)(cid:8),5%,49%,51%,0%,,
Revenue,6.2,12.7,15.3,8.4,61.0,103.6,89.3,192.9,54%,49%
YoY Growth,20%,36%,-(cid:23)(cid:8),115%,9%,54%,46%,5%,,
Cost before povisions,3.2,4.6,11.3,6.8,34.5,60.4,54.1,114.5,53%,52%
YoY Growth,-(cid:23)(cid:8),29%,14%,617%,11%,53%,47%,21%,,
PBT before provisions,3.0,8.1,4.0,1.7,26.5,43.2,35.2,78.4,55%,47%
YoY Growth,66%,40%,-(cid:22)(cid:24)(cid:8),-(cid:23)(cid:23)(cid:8),6%,55%,45%,-(cid:20)(cid:21)(cid:8),,
PBT,1.5,7.8,0.5,1.7,20.1,31.5,26.7,58.2,54%,51%
YoY Growth,144%,36%,134%,-(cid:23)(cid:23)(cid:8),8%,54%,46%,12%,,
PAT,1.2,5.4,0.6,1.3,15.6,24.1,24.1,48.2,50%,41%
YoY Growth,107%,30%,186%,-(cid:23)(cid:19)(cid:8),29%,50%,50%,7%,,
RoAE,16.8%,33.1%,3.8%,22.8%,22.7%,21.4%,20.2%,20.8%,,
RoAA,2.2%,4.7%,0.5%,5.0%,2.6%,2.7%,2.4%,2.5%,,
