Group,Column,Company,Column
2014,2013,2014,2013
"35,367","31,890
(5,399)","31,140",
"(6,192)",,"(4,980)",
"29,175","26,491
2,992","26,160",
"3,297",,"2,638",
"3,297","2,992","2,638",
"2,391","1,932
10,446","1,251",
"12,786",,"11,118",
"47,649","41,861","41,167",
"(1,590)","(2,402)","(1,159)",
"46,059","39,459
(9,043)
(1,319)
(2,526)
(7,768)","40,008",
"(10,814)",,"(8,791)",
"(1,592)",,"(1,088)",
"(3,185)",,"(2,568)",
"(9,168)",,"(7,449)",
"(24,759)","(20,656)","(19,896)",
"21,300","18,803
201
-","20,112",
-,,-,
242,,-,
822,,"1,667",
"22,364","19,004
(5,726)","21,779",
"(5,213)",,"(4,943)",
"17,151","13,278","16,836",
"17,151","13,278","16,836",
4.63,3.59,4.55,
