"At 1 January, 2016","1,887","16,063","49,014",-,-,"66,964"
Total comprehensive income:,,,,,,
Profit for the year,-,-,"11,470",-,-,"11,470"
Dividends (Note 28(g)),,,,,,
Final for 2015 paid,-,-,"(7,547)",-,-,"(7,547)"
"At 31 December, 2016","1,887","16,063","52,937",-,-,"70,887"
