Title,Key requirements,Effective date
IFRS 17 Insurance Contracts,"IFRS 17 was issued in May 2017 as replacement for IFRS 4
Insurance Contracts. It requires a current measurement
model where estimates are re-measured in each reporting
period. The new rules will affect the financial statements and
key performance indicators of all entities that issue insurance
contracts or investment contracts with discretionary
participation features.","Originally 1
January 2021, but
extended to 1 Janu-
ary 2023 by the IASB
in March 2020"
"Interest Rate Benchmark Reform –
Amendments to IFRS 7, IFRS 9, IFRS 4
and IFS 16","The Phase 2 amendments address issues that arise from the
implementation of the reform of an interest rate benchmark,
including the replacement of one benchmark with an
alternative one.",1 January 2021
"COVID-19-related Rent Concessions –
Amendments to IFRS 16","The IASB has provided lessees (but not lessors) with relief in
the form of an optional exemption from assessing whether a
rent concession related to COVID-19 is a lease modification,
provided that the concession meets certain conditions.
Lessees can elect to account for qualifying rent concessions
in the same way as they would if they were not lease
modifications. In many cases, this will result in accounting for
the concession as a variable lease payment.","Annual periods
beginning on or
after 1 June 2020
(early adoption is
permitted)"
