Performance,KShs million
Total revenue,"2,348"
Customer deposits,"19,113"
Total assets,"25,962"
PBT 352,
Statistics,In absolute
Customer numbers,"417,525"
Employee numbers,344
ATM’s,17
Branches,15
Agents,"1,568"
