Stakeholder,Stakeholder concerns raised in 2022,Our Response
Our Employees,"• Understanding changes made in
the approved medical cover and
first line provider and whether
services availed will be at par
with and not worse than the
previous services
• Adjusting to returning to work
in the office and whether work
from home remains an option
• Understanding of the ARRP and
what is required to deliver on it
• Need to be upskilled on
changing operational structure
and new products being
launched
• Need more training on E&S risks
and how to engage customers on
this aspect","• Communicated advantages of the new medical cover
and provider including cost benefits and access to
high quality care.
• Provided for wellness concerns on return to office.
Also communicated the preference to working in
the office to enable performance, collaboration, and
engagement. An appropriate Remote working/Work
from Home/Hybrid workplace policy developed.
• Utilising the induction process to sensitize
employees on our strategy and approach to business
and community sustainability.
• Ongoing articulation of our strategic intent as an
organisation
• Make use of regional conventions and Subsidiary
Executive Roadshows to communicate, employee can
engage with the CEO and leadership.
• Improving employee performance management
including a revamped balanced score card approach
• Engage with employee during performance
appraisals
• Make use of publications and the intranet to
disseminate information.
• Making use of learning platforms.
• Communicate ways to contribute and participate in
EGF activities.
• Building skills set to ensure we education our
customers on the need for E&S screening.
• Rolled out specialised ESG training programme.
• Continued training and development programme
focused on women, especially in management."
"Society and
Communities","• Information and opportunities to
participate in EGF activities
• Empowerment of supply chains","• We communicate activities through our newsletters,
radio / tv shows, face to face meetings in the branch,
social media, regular meetings, customer dinners
and lunches, various publications
• We have a clear mechanism for identifying
participants to our projects
• We make use of customer testimonials to
demonstrate our contribution to society
• We have partnered with the UN Global Compact to
adopt and roll out a curriculum to empower our
supply chain"
"Regulators and
Policy Makers","• Management of emerging risks
• Collaboration to enhance levels
of financial inclusion
• Collaboration to accelerate the
performance to contribute to the
SDGs","• Updated our Enterprise Risk Management
Framework and cascading through the Group to
identify and respond to emerging and new risks
• Regular and consistent engagement with regulators
on issues of interest to them
• Providing thought leadership to the regulator to
enhance broader sector performance
• Signed partnership with the United Nations to
accelerate regional governments contributions to
achieving the goals set under the SDGs
• In supporting the SDGs, we are leveraging our
network and broad footprint, and continue to focus
on financial inclusion and economic development
pre country of operation"
