Column,The risks and their impact,How we are responding
"People
capability","Our people are critical to the success
of our strategy and ensuring we are
able to continuously find better ways to
operate and meet customer needs.
A shortage of key skills, a failure to
help our people continuously update
their capabilities, the emergence of
new technologies, and/or a fall in our
attractiveness relative to other leading
employers, could impact our ability to
deliver on our strategy and vision.","• We are investing in our value proposition as an
employer, through new ways of working, competitive
benefits and a focus on culture and diversity.
• We focus on developing and retaining our people,
including senior management, through targeted
training programs and skill upgrading.
• We are creating flexible and innovative workspaces to
enable stronger collaboration and foster an innovative
culture.
• We are building partnerships with leading universities
to develop top talent and are investing in community
awareness of potential future skills shortages.
• We are assessing how new technologies will impact
the future workforce for the regional economies and
our businesses."
"Regulatory
and policy
environment","Regulatory compliance and involvement
in evolving policy discussions are
critical to how we continue to run our
business, and interact with customers.
The banking industry remains subject to
ongoing regulatory and policy changes.
If we are unable to foresee, advocate for,
plan for, and adapt to regulatory change,
this could negatively impact our ability to
serve customers, and/or our earnings.","• We allocate a material proportion of our investment
budget to regulatory compliance and risk prevention
initiatives, and engage with policy makers and
communities to advocate for appropriate regulatory
reform.
• We maintain constructive and proactive relationships
with key regulators."
"Data and
information
management","As one of the region’s largest financial
institutions, we manage a significant
volume of sensitive customer data and
value the trusted relationship we have
with our customers.
As technology continues to evolve, the
threat of cyber-attacks is becoming
more sophisticated and greater
numbers of third-parties seek to access
our customers’ data and remove it from
the safety of our systems and firewalls.
A failure to ensure this information
is kept safe and used in a way that
regulators and customers expect, may
significantly impact relationships with
these stakeholders and the broader
community.","• We have, and continue to invest significantly in
our data, analytics and cyber-security capabilities
to better meet evolving customer needs and
expectations, and to reduce the potential for data
breaches.
• We actively engage with regulators to ensure that
there is appropriate governance in place and that
evolution in regulation appropriately balances the
value of giving customers control of their data, with
our duty to protect customers’ privacy and security.
• We continuously invest in IT system security and
identity and access management controls to secure
the confidentiality, integrity and availability of our
data.
• Our people undergo mandatory training modules
to ensure they understand the importance of data
security and their obligations in relation to the data
they have access to."
