Equity Bank (Kenya) Limited,Column,Equity Group Holdings Plc,Column,Column,Column
BANK,,COMPANY,,GROUP,
"30th June 31st Dec 31st Mar
2016 2016 2017
(Un-Audited) (Audited) (Un-Audited)
9,787,161 15,457,320 15,355,068
1,972,420 1,816,643 2,081,336",,"30th June 31st Dec 31st Mar
2016 2016 2017
(Un-Audited) (Audited) (Un-Audited)
- - -
- - -",,"30th June 31st Dec 31st Mar
2016 2016 2017
(Un-Audited) (Audited) (Un-Audited)
12,931,302 18,754,023 19,509,295
2,173,547 2,036,824 2,333,688",
,30th June,,30th June,,30th June
,2017,,2017,,2017
,(Un-Audited),,(Un-Audited),,(Un-Audited)
,"16,224,017",,-,,"20,363,500"
,"2,648,797",,-,,"2,867,909"
"7,814,740 13,640,677 13,273,732
3,521,782 5,416,636 5,647,521","13,575,220","- - -
- - -",-,"10,757,755 16,717,199 17,175,607
4,799,629 6,959,640 7,069,507","17,495,591"
,"6,253,916",,-,,"7,801,417"
"4,292,958 8,224,041 7,626,211
3,596,063 7,296,995 6,649,306","7,321,304","- - -
- - -",-,"5,958,126 9,757,559 10,106,100
5,173,501 8,829,046 9,105,049","9,694,174"
,"6,674,525",,-,,"9,023,366"
"696,895 927,046 976,904","646,779",- - -,-,"784,625 928,513 1,001,051","670,808"
"2,104,364 2,712,762 2,886,735
5,428,387 5,084,658 4,895,253",,"- - -
- - -",,"2,104,364 2,712,762 2,980,280
6,061,846 6,005,984 5,865,634",
,"2,757,639",,-,,"2,757,639"
,"4,630,970",,-,,"5,727,086"
"7,532,751 7,797,420 7,781,988","7,388,609",- - -,-,"8,166,210 8,718,747 8,845,914","8,484,725"
"18,083,350 32,733,625 34,448,069
28,794,340 7,749,424 19,702,640
- - -",,"- - -
- - -
- - -",,"20,735,700 35,676,396 37,666,636
29,906,424 7,749,424 20,734,024
- 410,344 -",
,"31,402,413",,-,,"36,870,118"
,"24,648,738",,-,,"24,648,738"
,-,,-,,-
"46,877,690 40,483,049 54,150,710","56,051,151",- - -,-,"50,642,124 43,836,164 58,400,660","61,518,856"
,"55,238,619",,-,,"83,180,300"
,"1,000,000",,-,,"4,173,124"
,"54,238,619",,-,,"79,007,176"
,"3,037,709",,-,,"3,439,686"
,"58,276,328",,-,,"86,619,986"
,"361,653,743",,-,,"424,252,800"
,19.1%,,-,,22.9%
,10.5%,,-,,10.5%
,8.6%,,-,,12.4%
,15.3%,,-,,19.6%
,10.5%,,-,,10.5%
,4.8%,,-,,9.1%
,16.1%,,-,,20.4%
,14.5%,,-,,14.5%
,1.6%,,-,,5.9%
,54.4%,,-,,51.1%
,20.0%,,-,,20.0%
,34.4%,,-,,31.1%
