Name,Expertise,"Executive/
Non-
Executive","Independent/
Non-
Independent",Gender,"Meeting
Attendance"
Dr. Peter Munga,"Accounting and financial
management experience","Non-
Executive
Chairman",Independent,Male,4/4
Dr. James Mwangi,"Banking and financial experience,
leadership and management of
financial institutions","Executive
Director","Non-
independent",Male,3/4
Mr. Deepak Malik,"Accounting, banking, financial
investment experience, leadership
and management of financial
institution","Non-
Executive
Director","Non-
Independent",Male,4/4
"Mrs. Evelyn
Rutagwenda","Accounting, auditing, leadership and
management","Non-
Executive
Director",Independent,Female,4/4
Dr. Helen Gichohi,"Leadership and international
management of social impact and
transformational programs","Non-
Executive
Director","Non-
Independent",Female,3/4
Mr. Dennis Aluanga,"Finance, operations, strategic
planning and project management","Non-
Executive
Director",Independent,Male,4/4
Mr. David Ansell,"Management of financial institutions,
strategic planning and business
development","Non-
Executive
Director",Independent,Male,3/4
"Prof. Isaac
Macharia","Medical, strategic planning,
leadership and business development","Non-
Executive
Director",Independent,Male,1/4
Mr. Vijay Gidoomal,"Finance, operations, strategic
planning and business development","Non-
Executive
Director",Independent,Male,1/4
Mrs. Mary Wamae,"Legal, company secretarial, strategic
planning, leadership and business
development","Executive
Director","Non-
Independent",Female,N/A
