Board Committee M,embers
"i. Strategy and Investments Committee M
M
D
M
M
M","r. Dennis Aluanga - Chair
r. Peter Munga
r. James Mwangi
r. Deepak Malik
r. John Staley
r. Adil Popat"
"ii. Governance, Nominations and Compensation Committee M
D
M
M
D","r. Dennis Aluanga - Chair
r. Helen Gichohi
rs. Evelyn Rutagwenda
r. Peter Munga
r. James Mwangi"
"iii. Board Audit Committee M
M
M
M","rs Evelyn Rutagwenda - Chair
r Adil Popat
r David Ansell
r Dennis Aluanga"
