Group,Column,Bank
2011,2010,2011
"10,325","7,132
-
(124)
(17)
(1,103)","9,774"
-,,-
(200),,-
(6),,-
(72),,(72)
(278),"(1,244)",(72)
"10,047","5,888","9,702"
"10,047","5,888","9,702"
