"Carrying
amount",Fair value,Level 1,Level 2,Lev
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ milli
"232,369","232,369",-,-,"232,"
"22,894","14,257",-,"14,257",
101,101,-,-,
"705,168","705,168",-,-,"705,"
"22,437","22,437",-,-,"22,"
"982,969","974,332",-,"14,257","960,"
"1,052,162","1,052,162",-,-,"1,052,"
"157,542","157,542",-,-,"157,"
"9,127","9,127",-,-,"9,"
"37,705","37,705",-,-,"37,"
"1,256,536","1,256,536",-,-,"1,256,"
