AGENCY BANKING,Dec-19,Dec-18,Growth
Number of agents,"53,417","42,635",21%
Monthly transactions,7.2Mn,6.6Mn,13%
"Monthly Value of
Transactions (in Shs)",66.7Bn,58.6Bn,25%
"Monthly Agent
Commissions (gross)
(in Shs)",184Mn,174.5Mn,21%
