Name,No. of Shares,%
Helios EB Investors,"90,516,255",24.99
"British-American Investments
Company (Kenya) Limited","40,081,689",11.06
Nelson Muguku Njoroge,"22,545,255",6.22
James Njuguna Mwangi,"19,898,505",5.49
John Kagema Mwangi,"17,100,000",4.72
"Equity Bank Employees Share
Ownership Plan","15,018,400",4.14
Africap Limited,"15,000,000",4.14
Andrew Mwangi Kimani,"10,928,040",3.01
Fortress Highlands Limited,"10,101,000",2.78
Peter Kahara Munga,"8,707,479",2.4
Other 7077 Shareholders,"112,313,282",31.05
Total Shares,"362,209,905",100.00
