"3,851,656
441,776",Column,"3,676,597
437,580"
"3,409,880","2,531,770 1,291,639","3,239,017"
"659,230
2,750,650
2,750,650
-
304,767
1,147,083","750,111 289,942
1,781,659 1,001,697
1,781,659 1,001,697
- -
208,753 183,456
956,678 506,591","529,701
2,709,316
2,709,316
-
303,101
1,091,097"
"1,451,850","1,165,431 690,047","1,394,198"
"1,960,006
1,030","1,889,017 2,321,328
8,517 8,517","1,960,006
1,030"
"1,961,036","1,897,534 2,329,845","1,961,036"
,,"14,642,244
250,000
14,392,244
5,713,131
20,105,375
54,155,352"
,,"28%
8%
20%
27%
8%
19%
38%
12%
26%"
,,"40%
20%
20%"
