SHAREHOLDING,NO.OF.Shareholders,NO OF SHARES,% OF SHARES HELD
1 to 500,"10,638","2,561,564",0.06
"501 - 5,000","11,957","22,253,898",0.58
"5,001 - 10,000","2,012","15,380,940",0.40
"10,001 - 100,000","2,591","73,981,312",1.96
"100,001 - 1,000,000",585,"209,016,601",5.53
"1,000,001 and above",342,"3,450,480,487",91.43
Total:,"28,125","3,773,674,802",100
