Kenya,Uganda,South Sudan,Rwanda,Tanzania,DRC
73%,22%,190%,392%,33%,160%
61%,27%,146%,267%,51%,179%
73%,32%,195%,392%,75%,193%
55%,22%,129%,149%,32%,158%
20%,20%,20%,100%,20%,100%
