FY 2025,EBTL,EBRL,EBUL,EBSS,Equity BCDC,"Regional
Subs Total",EBKL,"Banking
Group Total","Other Subs
Contribution
FY-2025","Other Subs
Contribution
FY-2024"
"Deposit
YoY Growth","53.7
26%","93.2
1%","103.0
5%","15.0
25%","546.3
1%","881111..22
33%%","884499..22
11%%","11,,666600..44
22%%","4499%%
11%%","4488%%
--22%%"
Loan,41.9,63.6,49.3,0.8,317.5,447733..11,440099..44,888822..55,5544%%,4488%%
YoY Growth,61%,22%,7%,0%,17%,1199%%,--33%%,88%%,66%%,--11%%
"Assets
YoY Growth","75.4
34%","130.5
5%","127.3
7%","24.1
16%","708.3
8%","11,,006655..66
99%%","11,,004400..66
11%%","22,,110066..22
55%%","5511%%
22%%","4499%%
--11%%"
Revenue,7.3,13.6,15.4,2.9,71.8,111111..00,110088..55,221199..55,5511%%,5544%%
YoY Growth,18%,7%,1%,-65%,18%,77%%,2222%%,1144%%,--33%%,55%%
"Operating Costs
YoY Growth","4.0
21%","5.2
13%","10.1
-11%","3.6
-47%","37.8
10%","6600..77
00%%","5533..77
--11%%","111144..44
00%%","5533%%
00%%","5533%%
11%%"
PBT,3.5,7.5,4.5,(0.9),32.1,4466..77,4444..00,9900..77,5511%%,5544%%
YoY Growth,133%,-4%,800%,-153%,60%,4488%%,6655%%,5566%%,--33%%,33%%
"PAT
YoY Growth","2.7
125%","5.4
0%","3.6
500%","(0.1)
-110%","24.7
58%","3366..33
5533%%","3399..22
6633%%","7755..55
5588%%","4488%%
--22%%","5500%%
99%%"
RoAE,27.0%,28.9%,21.7%,-2.4%,29.5%,2277..55%%,2266..88%%,2277..11%%,,
RoAA,4.4%,4.3%,3.1%,-0.5%,4.0%,33..99%%,33..99%%,33..99%%,,
