2015,Column,Column,Column,Column
"Property, equipment and software",35,6 337,-,693
Allowances for loan losses,"1,89",2 (49),-,"1,843"
Provision for accrued leave,4,5 (4),-,41
Unrealised exchange losses,,6 118,-,124
Unrealised exchange gains,(2,5) 22,-,(3)
Tax losses,30,0 (38),-,262
,"2,57",4 386,-,"2,960"
