Column,EQUITY BANK (KENYA) LIMITED,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column
,BANK,,COMPANY,,GROUP,
"STATEMENT OF COMPREHENSIVE INCOME (continued)
9.0 Profit / (loss) after exceptional items
10. Current tax
11. Deferred tax
12. Profit / (loss) after tax and exceptional items
12.1 Minority interest
13. Profit / (loss) after tax and exceptional items and
minority interest
14. Other comprehensive income
14.1 Gains / (losses) from translating the financial
statements of foreign operations
14.2 Fair value changes in available for sale financial
assets
14.3 Revaluation surplus on property and equipment
14.4 Share of other comprehensive income of
associates
14.5 Income tax relating to components of other
comprehensive income
15. Other comprehensive income for the year net of
tax
16. Total comprehensive income for the year
EARNINGS PER SHARE - BASIC & DILUTED
DIVIDEND PER SHARE - DECLARED
OTHER DISCLOSURES
1) NON-PERFORMING LOANS AND ADVANCES
a) Gross non-performing loans and advances
b) Less interest in suspense
c) Total non-performing loans and advances (a-b)
d) Less loan loss provision
e) Net non- performing loans (c-d)
f) Discounted value of securities
g) Net NPLs exposure (e-f)
2) INSIDER LOANS AND ADVANCES
a) Directors, shareholders and associates
b) Employees
c) Total insider loans and advances and other
facilities
3) OFF-BALANCE SHEET ITEMS
a) Letter of credit, guarantees and acceptances
b) Forwards,swaps and options
c) Other contigent liabilities
d) Total contigent liabilities
4) CAPITAL STRENGTH
a) Core capital
b) Minimum statutory capital
c) Excess / (deficiency)
d) Supplementary capital
e) Total capital (a+d)
f) Total risk weighted assets
Ratios
g) Core capital / total deposit liabilities
h) Minimum statutory ratio
i) Excess / (deficiency) (g-h)
j) Core capital / total risk weighted assets
k) Minimum statutory ratio
l) Excess / (deficiency) (j-k)
m) Total capital / total risk weighted assets
n) Minimum statutory ratio
o) Excess / (deficiency) (m-n)
p) Adjusted core capital / total deposit liabilities*
q) Adjusted core capital / total risk weighted assets*
r) Adjusted total capital / total risk weighted assets*
5) LIQUIDITY
a) Liquidity ratio
b) Minimum statutory ratio
c) Excess / (deficiency) (a-b)","30th June 31st Dec 31st Mar
2020 2020 2021
Shs. '000' Shs. '000' Shs. '000'
(Un-Audited) (Audited) (Un-Audited)",30th June,"30th June 31st Dec 31st Mar
2020 2020 2021
Shs. '000' Shs. '000' Shs. '000'
(Un-Audited) (Audited) (Un-Audited)",30th June,"30th June 31st Dec 31st Mar
2020 2020 2021
Shs. '000' Shs. '000' Shs. '000'
(Un-Audited) (Audited) (Un-Audited)",30th June
,,2021,,2021,,2021
,,Shs. '000',,Shs. '000',,Shs. '000'
,,(Un-Audited),,(Un-Audited),,(Un-Audited)
,"9,160,986 14,207,343 9,282,754
(3,385,738) (7,599,106) (2,098,612)
1,398,173 7,395,831 (38,941)","18,885,173","549,618 215,442 (187,785)
(98,921) (61,687) -
(7,289) 5,574 -","(101,549)","11,977,492 22,169,790 11,705,154
(4,399,682) (10,306,675) (2,945,108)
1,499,293 8,236,431 (35,995)","23,830,973"
,,"(4,760,394)",,-,,"(6,442,140)"
,,"274,995",,"30,571",,"555,365"
,"7,173,421 14,004,068 7,145,201
- - -","14,399,774","443,408 159,329 (187,785)
- - -","(70,978)","9,077,103 20,099,546 8,724,051
(54,986) (310,148) (94,108)","17,944,198"
,,-,,-,,"(394,959)"
,"7,173,421 14,004,068 7,145,201","14,399,774","443,408 159,329 (187,785)","(70,978)","9,022,117 19,789,398 8,629,943","17,549,239"
,"- - -
1,089,666 2,779,632 (7,433,540)
- - -
- - -
- - -",,"- - -
- - -
- - -
- - -
- - -",,"1,183,016 (224,348) 534,645
1,323,260 2,964,356 (7,461,856)
- - -
- - -
- - -",
,,-,,-,,"934,221"
,,"(2,395,107)",,-,,"(2,445,727)"
,,-,,-,,-
,,-,,-,,-
,,-,,-,,-
,"1,089,666 2,779,632 (7,433,540)","(2,395,107)",- - -,-,"2,506,276 2,740,008 (6,927,211)","(1,511,506)"
,"8,263,087 16,783,700 (288,339)
239.11 466.80 238.17
- - -
32,793,328 42,824,644 43,997,552
4,720,396 6,157,258 6,727,648","12,004,667","443,408 159,329 (187,785)
0.12 0.04 (0.05)
- - -
- - -
- - -","(70,978)","11,583,379 22,839,554 1,796,840
2.39 5.24 2.29
- - -
45,550,316 59,392,899 63,485,148
5,783,140 8,765,884 7,724,853","16,432,692"
,,479.99,,(0.02),,4.65
,,-,,-,,-
,,"43,828,066",,-,,"62,196,473"
,,"7,243,774",,-,,"8,283,536"
,"28,072,932 36,667,386 37,269,904
12,372,202 22,350,223 22,069,560","36,584,292","- - -
- - -",-,"39,767,176 50,627,015 55,760,295
16,319,141 28,296,995 27,508,847","53,912,937"
,,"22,651,296",,-,,"31,000,334"
,"15,700,730 14,317,163 15,200,344
14,382,064 14,317,163 15,200,344","13,932,996","- - -
- - -",-,"23,448,035 22,330,020 28,251,448
22,879,863 22,330,020 28,251,448","22,912,603"
,,"13,932,996",,-,,"22,912,603"
,"1,318,666 - -",-,- - -,-,"568,172 - -",-
,"4,480,269 4,635,346 4,782,919
5,080,736 5,776,376 5,938,347",,"- - -
- - -",,"4,661,838 5,484,014 5,272,890
6,769,370 7,919,910 8,521,838",
,,"5,504,365",,-,,"6,529,929"
,,"6,315,796",,-,,"8,050,728"
,"9,561,005 10,411,722 10,721,266","11,820,161",- - -,-,"11,431,208 13,403,924 13,794,728","14,580,657"
,"66,896,074 73,879,069 74,200,975
40,267,371 35,124,888 30,557,250
- - -",,"- - -
- - -
- - -",,"84,934,376 104,002,031 98,200,699
40,267,371 35,124,888 30,557,250
- - -",
,,"73,163,013",,-,,"97,713,692"
,,"36,223,366",,-,,"36,223,366"
,,-,,-,,-
,"107,163,445 109,003,957 104,758,225","109,386,379",- - -,-,"125,201,747 139,126,919 128,757,949","133,937,058"
,"64,350,476 70,268,038 73,879,580
1,000,000 1,000,000 1,000,000
63,350,476 69,268,038 72,879,580
21,330,000 21,850,000 21,870,000
85,680,476 92,118,038 95,749,580
524,264,379 566,959,169 620,198,018
15.2% 14.1% 13.3%
8.0% 8.0% 8.0%
7.2% 6.1% 5.3%
12.3% 12.4% 11.9%
10.5% 10.5% 10.5%
1.8% 1.9% 1.4%
16.3% 16.2% 15.4%
14.5% 14.5% 14.5%
1.8% 1.7% 0.9%
15.3% 14.2% 13.4%
12.4% 12.5% 12.0%
16.4% 16.3% 15.5%
59.4% 73.1% 81.5%
20.0% 20.0% 20.0%
39.4% 53.1% 61.5%",,"- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -",,"110,200,576 119,668,525 125,159,768
4,173,124 4,173,124 4,173,124
106,027,452 115,495,401 120,986,644
22,153,778 33,609,907 33,677,458
132,354,354 153,278,432 158,837,226
653,898,060 809,585,432 880,037,514
20.3% 16.2% 15.8%
8.0% 8.0% 8.0%
12.3% 8.2% 7.8%
16.9% 14.8% 14.2%
10.5% 10.5% 10.5%
6.4% 4.3% 3.7%
20.2% 18.9% 18.0%
14.5% 14.5% 14.5%
5.7% 4.4% 3.5%
20.6% 16.2% 15.9%
17.1% 14.8% 14.3%
20.5% 19.0% 18.1%
54.2% 59.3% 60.6%
20.0% 20.0% 20.0%
34.2% 39.3% 40.6%",
,,"77,192,930",,-,,"129,290,525"
,,"1,000,000",,-,,"4,173,124"
,,"76,192,930",,-,,"125,117,401"
,,"20,963,003",,-,,"32,492,294"
,,"98,155,933",,-,,"161,782,819"
,,"651,227,639",,-,,"922,013,197"
,,13.2%,,-,,15.8%
,,8.0%,,-,,8.0%
,,5.2%,,-,,7.8%
,,11.9%,,-,,14.0%
,,10.5%,,-,,10.5%
,,1.4%,,-,,3.5%
,,15.1%,,-,,17.5%
,,14.5%,,-,,14.5%
,,0.6%,,-,,3.0%
,,13.3%,,-,,15.8%
,,11.9%,,-,,14.1%
,,15.1%,,-,,17.6%
,,88.4%,,-,,62.4%
,,20.0%,,-,,20.0%
,,68.4%,,-,,42.4%
