Prof. Isaac Macharia,Chairman
Mrs. Evelyn Rutagwenda**,Vice Chairperson
Dr. James Mwangi*,Group Chief Executive Officer & Managing Director
Dr. Helen Gichohi,
Mr. Vijay Gidoomal,
Mrs. Mary Wamae*,
Dr. Edward Odundo,
Mr. Jonas Mushosho***,
Dr. Evans Baiya,Appointed on 16.08.2022
* Executive Directors,
** Rwandese,
*** Zimbabwean,
