Group,Column,Bank,Column
2013,2012,2013,2012
,"17,420
2,016
300
(286)
(4)
1,608
(171)
(80)
1,474",,
"19,004",,"18,233",
"2,182",,"1,784",
820,,316,
(100),,(60),
6,,(3),
"2,402",,"1,836",
(201),,-,
(84),,-,
"1,325",,"1,375",
"25,354","22,277","23,481",
"(38,073)","(23,476)
(2,205)
1
23,748
122
804","(31,454)",
"(3,906)",,"(2,787)",
-,,-,
"27,240",,"16,359",
(120),,-,
849,,391,
"11,344","21,271","5,990",
"(8,677)","(4,002)","(8,276)",
"2,667","17,269","(2,287)",
,"(3,782)
(363)
27
-
80
(25,893)
15,625",,
"(3,482)",,"(2,196)",
(998),,(736),
206,,3,
-,,"(2,080)",
84,,-,
"(15,008)",,"(10,060)",
"11,565",,"9,902",
"(7,633)","(14,306)","(5,167)",
,"(3,703)
13,581
(1,804)
(1,474)",,
"(4,629)",,"(4,629)",
"1,825",,719,
"(1,632)",,(862),
"(1,325)",,"(1,375)",
"(5,761)","6,600","(6,147)",
"(10,727)","9,563","(13,597)",
121,"289
35,282",60,
"45,134",,"35,467",
"34,528","45,134","21,930",
