Energy,Water,Carbon,Waste
"Consumption in the
organisation","Consumption at facility
level",Scope 1 Emissions,Assessment per type
"Consumption outside the
organisation",,"Assessment of GHG
emission intensity",
"Assessment of energy
Intensity","Assessment of water
reduction options",,"Assessment by dispos
method"
"Assessment of energy
reduction options",,"Assessment of GHG
reduction options",
