Column,KENYA,UGANDA,RWANDA,TANZANIA
Current Account to GDP,-8.20%,-12.40%,-10.20%,-10.10%
FX Rate (USD/Local currency),92.34,2979.71,712.41,1796.67
Private Sector Credit Growth,21.80%,11.00%,19.60%,13.70%
"Real GDP Growth
(IMF 2014 Estimates)",5.50%,3.01%,7.80%,6.80%
GDP USD Bn,55.24,21.48,7.45,33.23
