Stage 1,Stage 2,Stage 3,T
12-month ECL,Lifetime ECL,Lifetime ECL,
Shs’ millions,Shs’ millions,Shs’ millions,Shs’ milli
"495,302","85,705","51,905","632,"
"13,913","(13,039)",(874),
"(32,856)","33,205",(349),
"(11,822)","(9,249)","21,071",
"(27,464)","7,295","(3,933)","(24,1"
"285,399","13,145","6,757","305,"
"(125,894)","(17,388)","(16,654)","(159,9"
"2,998","(2,556)",742,"1,"
"599,576","97,118","58,665","755,"
