31 December 2016,Column,Column,Column,Column,Column,Column
Assets,,,,,,
Cash and cash equivalents,-,-,"8,012",-,"8,012","8,012"
Amounts due from related parties,-,,704,-,704,704
Other assets,-,-,1,-,1,1
,-,-,"8,717",-,"8,717","8,717"
Liabilities,,,,,,
Amounts due to related parties,-,-,-,"(2,558)","(2,558)","(2,558)"
Other liabilities,-,-,-,(1),(1),(1)
,-,-,-,"(2,559)","(2,559)","(2,559)"
