Performance,"2023
(Shs Millions)","2024
(Shs Millions)"
Total revenue,"5,183","6,223"
Customer deposits,"46,840","44,370"
Total assets,"60,587","56,208"
PBT,631,"1,540"
Other metrics,,
Customer numbers,"619,234","570,710"
Employee numbers,484,501
ATM’s,20,20
Branches,15,15
Agents,"5,981","5,341"
