Column,"Carrying
amount",Fair value,Level 1,Level 2,Level 3
,Shs’ millions,Shs’ millions,Shs’ millions,Shs’ million,Shs’ millions
At 31 December 2017,,,,,
"Cash balances and deposits in
financial institutions","8,318","8,318",-,-,"8,318"
Due from related parties,313,313,-,-,313
Total financial assets,"8,631","8,631",-,-,"8,631"
Due to related parties,"2,667","2,667",-,-,"2,667"
Other liabilities,259,259,-,-,259
Total liabilities,"2,926","2,926",-,-,"2,926"
