Column,Column,Group,Column,Company,Column
,,2024,2023,2024,2023
,Note,KShs.'000,KShs.'000,KShs.'000,KShs.'000
Profit/loss attributable to:,,,,,
Owners of the parent,28,"959,870","(161,128)","188,101","(536,112)"
Non-controlling interests,12(b),"95,017","34,560",-,-
,,"1,054,887","(126,568)","188,101","(536,112)"
Earnings/(loss) per share:,,,,,
Basic - KShs,28,6.67,(1.12),1.31,(3.72)
Diluted - KShs,28,6.67,(1.12),1.31,(3.72)
"Loss for the year, after tax:",,"1,054,887","(126,568)","188,101","(536,112)"
Other comprehensive income for the year net of tax,,-,-,-,-
Total comprehensive income for the year,,"1,054,887","(126,568)","188,101","(536,112)"
Attributable to:,,,,,
Owners of the parent,,"959,870","(161,128)","188,101","(536,112)"
Non-controlling interests,,"95,017","34,560",-,-
,,"1,054,887","(126,568)","188,101","(536,112)"
