Note,2024,2023
,KShs.’000’,KShs.’000’
"5(a)
5(b)",,"3,568,956
874,940
872,779
23,121
53,525
25,474
13,498
12,709
8,759
20,114
43,935
853,787"
,"3,974,433",
,"599,526",
,"1,004,994",
,"9,266",
,"50,005",
,"44,174",
,"15,195",
,"15,241",
,"9,523",
,"29,801",
,"51,120",
,"810,664",
,"6,613,942","6,371,597"
,,"( 1,209,447)"
,"( 917,257)",
,"5,696,685","5,162,150"
,,"5,048,193
113,957"
,"5,672,959",
,"23,726",
,"5,696,685","5,162,150"
