Column,< 1 year,1-5 years,>5 years,>10 years,open ended,Total
,,KShs.’000,KShs.’000,KShs.'000,KShs.'000,KShs.'000
As at December 2021:,,,,,,
Linked and market-related investment contract liabilities,"637,162","1,772,220","317,312","24,088",-,"25,259,492"
Insurance contract liabilities:,,,,,,
Reversionary bonus policies,"785,781","1,451,395","1,646,347","439,881",-,"4,323,404"
Other non-participating liabilities,"1,960,464","4,631,330","3,689,208","3,970,623","192,734","14,444,359"
Total insurance contracts,"2,746,245","6,082,725","5,335,555","4,410,504","192,734","18,767,763"
Deposit administration contracts,-,-,-,-,"2,592,275","2,592,275"
,"3,383,407","7,854,945","5,652,867","4,434,592","2,785,009","24,110,820"
As at December 2020:,,,,,,
Linked and market-related investment contract liabilities,"1,141,697","2,143,761","604,650",-,-,"3,890,109"
Insurance contract liabilities:,,,,,,
Reversionary bonus policies,"357,450","1,291,856","1,736,247",-,-,"3,385,553"
Other non-participating liabilities,"1,262,485","3,645,934","6,972,317",-,"191,431","12,072,166"
Total insurance contracts,"1,619,935","4,937,789","8,708,564",,"191,431","15,457,719"
Deposit administration contracts,-,-,-,-,"1,546,627","1,546,627"
,"2,761,632","7,081,551","9,313,214",-,"1,738,058","20,894,455"
