2024,Column,Column,Column,Column,2023,Column,Column,Column,Column
Liabilities for incurred claims,,,,,Liabilities for incurred claims,,,,
"Liabili-
ties for
remaining
coverage","Estimate
of present
value of
future
cashflows","Risk
adjustment
for non
financial
risk","Subtotal
Liabili-
ties for
incurred
claims","Total
Liability","Liabili-
ties for
remaining
coverage","Estimate
of present
value of
future
cashflows","Risk
adjustment
for non
financial
risk","Subtotal
Liabili-
ties for
incurred
claims","Total
Liability"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,051,209","1,634,798","89,959","1,724,757","2,775,966",,,,,
"(3,243,976)",-,-,-,"(3,243,976)",,,,,
-,"1,447,996","(29,054)","1,418,942","1,418,942",,,,,
"433,131",-,-,-,"433,131",,,,,
-,"( 43,888)",-,"( 43,888)","( 43,888)",,,,,
"433,131","1,404,108","(29,054)","1,375,054","1,808,185",,,,,
"(2,810,845)","1,404,108","(29,054)","1,375,054","(1,435,791)",,,,,
-,"( 231,596)",-,"( 231,596)","( 231,596)",,,,,
"(2,810,845)","1,635,704","(29,054)","1,606,650","(1,204,195)",,,,,
"3,013,290",-,-,-,"3,013,290",,,,,
-,"(1,962,253)",-,"(1,962,253)","(1,962,253)",,,,,
"3,013,290","(1,962,253)",-,"(1,962,253)","1,051,037",,,,,
"(1,253,654)","(1,308,249)","(60,905)","(1,369,154)","(2,622,808)",,,,,
-,-,-,-,-,,,,,
