Director,Directorship,Column,Nationality
Dr John PN Simba,Non-executive and Chairman,,Kenyan
Dr Patrick Tumbo,Executive,,Kenyan
Julius Nyakia Magabe,Non–executive,,Tanzanian
Rohan Baloobhai Patel,Non–executive,,Kenyan
Susan Mudhune,Non–executive,Resigned on 6 April 2021,Kenyan
Nelius Bezuidenhout,Non–executive,,South African
Cornelius Foord,Non–executive,,South African
Freda Britz,Non–executive,,South African
Dr Grace Mirigo Mwai,Non–executive,,Kenyan
Rose Agutu,Non–executive,,Kenyan
