Note,2024,2023
,KShs. ‘000,KShs. ‘000
"30(a)
10(c)
8(b)",,"(1,014,238)
( 20,271)
( 177,526)"
,"(2,336,191)",
,"( 21,546)",
,"( 224,852)",
,"(2,582,589)","(1,212,035)"
"9
11
10
13
16
14(a)
14(a)
14(a)
14(a)
14(a)
7",,"-
-
( 17,468)
6,036
( 412)
(4,577,129)
( 82,988)
2,097,869
-
470,000
-
3,714,192"
,"( 1,813)",
,"64,900",
,"( 31,307)",
,"11,236",
,"( 1,700)",
,"(2,933,118)",
,-,
,"( 207,767)",
,"2,180,785",
,"352,881",
,"197,820",
,"30,197",
,"4,181,569",
,"3,843,683","1,610,100"
"10(c)
22",,"( 17,620)
( 14,400)"
,"( 34,345)",
,"(1,125,000)",
