Year ended 31 December 2021,Maximum Insured Loss,Column,Column,Column,Column
,,Shs 3-15m,Shs 15 - 250m,Shs 250 -1000m,Total
,,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
,Gross,"164,295,266","212,264,580","19,980,730","396,540,576"
,Net,"33,484,000","13,834,000","82,000","47,400,000"
,Gross,"16,184,861","150,355,965","58,316,093","224,856,919"
,Net,"14,853,670","110,980,978","15,588,107","141,422,755"
,Gross,"548,221","11,859,154","11,408,940","23,816,315"
,Net,"511,863","8,430,583","7,815,126","16,757,572"
,Gross,"9,832,060","74,845,681","46,612,692","131,290,433"
,Net,"9,141,622","46,821,590","19,579,177","75,542,389"
Total,Gross,"190,860,408","449,325,380","136,318,455","776,504,243"
,Net,"57,991,155","180,067,151","43,064,410","281,122,716"
Year ended 31 December 2020,Maximum Insured Loss,,,,
,,Shs 3-15m,Shs 15 - 250m,Shs 250 -1000m,Total
,,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
,Gross,"45,526,595","7,873,952","3,033,886","56,434,433"
,Net,"3,576,981","7,873,952",-,"11,450,933"
,Gross,"24,230,316","72,263,630","46,439,680","142,933,626"
,Net,"3,904,000","7,959,377","562,446","12,425,823"
,Gross,"306,589","2,537,826","1,022,942","3,867,357"
,Net,"72,000","194,000","20,000","286,000"
,Gross,"11,765,315","51,094,951","32,957,252","95,817,518"
,Net,"809,180","5,808,220","1,255,300","7,872,700"
Total,Gross,"81,828,815","133,770,359","83,453,760","299,052,934"
,Net,"8,362,161","21,835,549","1,837,746","32,035,456"
