"Insurance Insurance non- Assets backing
% change in base Participating participating life shareholders"
"+(-) 1% +(-)22,403 +(-)52,408 +(-)8,948
+(-) 10% +(-)16,702 +(-)32,820 +(-)5,357
+(-) 10% +(-)50,532 +(-)9,985 -
+(-) 5% +(-)19,554 +(-)68,486 -
+(-) 5% - +(-)20,616 -"
