Member,Directorship Status,Attendance at Meetings
James Gitoho (Chairperson),Non-Executive Director,100%
Margaret Dawes,Non-Executive Director,100%
John Simba,Non-Executive Director,100%
Susan Mudhune,Non-Executive Director,75%
