"Value of in
force","%change
over base"
KShs. ‘000,KShs. ‘000
"1,564,567",
"1,566,442",0.12%
"1,558,988",-0.36%
"1,590,865",1.68%
"1,572,149",0.48%
"1,606,891",2.71%
"1,582,170",1.13%
"1,585,972",1.37%
"1,569,426",0.31%
