Year ended 31 December 2020,Motor vehicles,"Computer
equipment","Furniture and
equipment","Owner occupied
property",Total
Cost,,,,,
At 1 January,"13,093","253,400","506,536","446,320","1,219,349"
Additions,-,"7,052","28,188",-,"35,240"
Adjustments*,"( 1,232)","4,874","4,819",-,"8,461"
,"11,861","265,326","539,543","446,320","1,263,050"
Depreciation,,,,,
At 1 January,"( 8,260)","(228,979)","(232,996)","(13,657)","(483,892)"
Depreciation adjustments*,38,"15,757","( 24,564)",-,"( 8,769)"
Charge for the year,"( 2,636)","( 20,150)","( 47,405)","( 8,659)","( 78,850)"
At 31 December,"(10,858)","(233,372)","(304,965)","(22,316)","(571,511)"
Carrying amount At 1 January,"4,833","24,421","273,540","432,663","735,457"
,"1,003","31,954","234,578","424,004","691,539"
