Column,2016,2017,2018,2019,2020
,KShs.m,KShs.m,KShs.m,KShs.m,KShs.m
,317,"251
31","(2,130)","550
114",43
,90,,"(2,017)",,(78)
,"5,225","6,370
5,416
4,534","6,346","6,991
5,647
4,836","8,698"
,"4,832",,"5,372",,"6,852"
,"4,478",,"5,124",,"5,732"
,"3,932","4,052
20,124
1,438
720
29,811","1,587","1,735
19,605
947
720
29,032","1,657"
,"20,432",,"20,042",,"20,894"
,"1,415",,"1,222",,"1,373"
,720,,720,,720
,"28,443",,"29,102",,"31,521"
Key indicators:,,,,,
,KShs.,KShs.,KShs.,KShs.,KShs.
,0.63,"0.21
-
-
3,996",(14.01),"0.79
-
-
2,478",(0.81)
,-,,-,,-
,-,,-,,-
,"8,640",,"3,168",,"1,865"
,65,,28,,16
,28,,20,,9.50
,28,,22,,12.95
